States/UTs,Crimes,Year,Persons_arrested_male,Persons_arrested_female,Persons_arrested_total
Andhra Pradesh,Murder (Section 302 IPC),2014,2111,223,2334
Andhra Pradesh,Attempt to commit Murder (Section 307 IPC),2014,2578,97,2675
Andhra Pradesh,Culpable Homicide not amounting to Murder (Section 304 IPC),2014,94,7,101
Andhra Pradesh,Attempt to commit Culpable Homicide (Section 308 IPC),2014,4,0,4
Andhra Pradesh,Rape (Section 376 IPC),2014,1191,46,1237
Andhra Pradesh,Custodial Rape,2014,0,0,0
Andhra Pradesh,Gang Rape,2014,0,0,0
Andhra Pradesh,Other Rape,2014,0,0,0
Andhra Pradesh,Rape other than Custodial,2014,1191,46,1237
Andhra Pradesh,Gang Rape,2014,24,0,24
Andhra Pradesh,Other Rape,2014,1167,46,1213
Andhra Pradesh,Attempt to commit Rape (Section 376/511 IPC),2014,173,0,173
Andhra Pradesh,"Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,1419,79,1498
Andhra Pradesh,Kidnapping & Abduction (Section 363 IPC),2014,415,29,444
Andhra Pradesh,Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,9,0,9
Andhra Pradesh,Kidnapping for Ransom (Section 364A IPC),2014,13,0,13
Andhra Pradesh,Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,436,19,455
Andhra Pradesh,Other Kidnapping,2014,546,31,577
Andhra Pradesh,"Dacoity (Section 395,396-398 IPC)",2014,325,1,326
Andhra Pradesh,Dacoity with Murder (Section 396 IPC),2014,6,0,6
Andhra Pradesh,Other Dacoity,2014,319,1,320
Andhra Pradesh,Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),2014,8,0,8
Andhra Pradesh,"Robbery (Section 392 to 394, 397 and 398 IPC)",2014,631,10,641
Andhra Pradesh,Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),2014,5409,70,5479
Andhra Pradesh,"Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2014,4009,46,4055
Andhra Pradesh,"House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",2014,1400,24,1424
Andhra Pradesh,Theft (Section 379 to 382 IPC),2014,13438,348,13786
Andhra Pradesh,Auto Theft,2014,3697,39,3736
Andhra Pradesh,Other Thefts,2014,9741,309,10050
Andhra Pradesh,"Unlawful Assembly (Section 143,144 & 145)",2014,272,16,288
Andhra Pradesh,"Riots (Section 147, 148, 149, 150 & 151 IPC)",2014,6596,275,6871
Andhra Pradesh,Communal,2014,181,5,186
Andhra Pradesh,Industrial,2014,31,0,31
Andhra Pradesh,Political,2014,1950,40,1990
Andhra Pradesh,Caste Conflict,2014,55,0,55
Andhra Pradesh,SC/STs Vs. Non-SCs/STs,2014,55,0,55
Andhra Pradesh,Other Caste Riots,2014,0,0,0
Andhra Pradesh,Agrarian,2014,0,0,0
Andhra Pradesh,Students,2014,0,0,0
Andhra Pradesh,Sectarian,2014,0,0,0
Andhra Pradesh,Other Riots,2014,4379,230,4609
Andhra Pradesh,Criminal Breach of Trust (Section 406 to 409 IPC),2014,1117,51,1168
Andhra Pradesh,Cheating (Section 420 IPC),2014,6725,304,7029
Andhra Pradesh,"Forgery (Section 465, 468 & 471 IPC)",2014,188,11,199
Andhra Pradesh,"Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",2014,146,0,146
Andhra Pradesh,"Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2014,6,0,6
Andhra Pradesh,Counterfeiting Government Stamp (Section 255 IPC),2014,0,0,0
Andhra Pradesh,Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),2014,140,0,140
Andhra Pradesh,Counterfeiting currency notes or Bank notes (Section 489A IPC),2014,69,0,69
Andhra Pradesh,Using forged or counterfeit currency/Bank notes (Section 489B IPC),2014,32,0,32
Andhra Pradesh,Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),2014,37,0,37
Andhra Pradesh,Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),2014,2,0,2
Andhra Pradesh,Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),2014,0,0,0
Andhra Pradesh,Arson (Section 435-436 & 438 IPC),2014,484,17,501
Andhra Pradesh,"Grievous Hurt (Section 325,326,326A & 326 B IPC)",2014,1112,139,1251
Andhra Pradesh,Grievous Hurt (Section 325 & 326 IPC),2014,1101,139,1240
Andhra Pradesh,Acid attack (Section 326A IPC),2014,7,0,7
Andhra Pradesh,Attempt to Acid Attack (Section 326B IPC),2014,4,0,4
Andhra Pradesh,Dowry Deaths (Section 304-B IPC),2014,395,136,531
Andhra Pradesh,Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,4759,156,4915
Andhra Pradesh,Sexual Harassment (Section 354A IPC),2014,1043,20,1063
Andhra Pradesh,Assault on women with intent to Disrobe (Section 354B IPC),2014,371,7,378
Andhra Pradesh,Voyeurism (Section 354C IPC),2014,86,0,86
Andhra Pradesh,Stalking (Section 354D IPC),2014,513,4,517
Andhra Pradesh,Others,2014,2746,125,2871
Andhra Pradesh,Insult to the Modesty of Women (Section 509 IPC),2014,2930,90,3020
Andhra Pradesh,At Office premises,2014,2,0,2
Andhra Pradesh,Places related to work other than Office,2014,107,0,107
Andhra Pradesh,In Public Transport system,2014,68,0,68
Andhra Pradesh,In Other Places,2014,2753,90,2843
Andhra Pradesh,Cruelty by Husband or his Relatives (Section 498-A IPC),2014,7770,1500,9270
Andhra Pradesh,Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Andhra Pradesh,Causing Death by Negligence (Section 304-A IPC),2014,6742,17,6759
Andhra Pradesh,Deaths due to negligent driving/act,2014,6620,10,6630
Andhra Pradesh,Deaths due to Other Causes,2014,122,7,129
Andhra Pradesh,"Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",2014,0,0,0
Andhra Pradesh,Sedition (Section 124A IPC),2014,0,0,0
Andhra Pradesh,Other offences against State,2014,0,0,0
Andhra Pradesh,Offences promoting enmity between different groups (Section 153A & 153B IPC),2014,42,0,42
Andhra Pradesh,Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),2014,42,0,42
Andhra Pradesh,Imputation & assertions prejudicial to national integration (Section 153B IPC),2014,0,0,0
Andhra Pradesh,Extortion (Section 384 - 389 IPC),2014,324,4,328
Andhra Pradesh,Disclosure of Identity of Victims (Section 228 A IPC),2014,0,0,0
Andhra Pradesh,Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),2014,13421,77,13498
Andhra Pradesh,Human Trafficking (Section 370 & 370A IPC),2014,7,3,10
Andhra Pradesh,Unnatural Offences U/s 377 IPC,2014,1,0,1
Andhra Pradesh,Other IPC crimes,2014,74894,7228,82122
Andhra Pradesh,Total Cognizable IPC crimes,2014,155306,10905,166211
Arunachal Pradesh,Murder (Section 302 IPC),2014,177,5,182
Arunachal Pradesh,Attempt to commit Murder (Section 307 IPC),2014,69,1,70
Arunachal Pradesh,Culpable Homicide not amounting to Murder (Section 304 IPC),2014,3,0,3
Arunachal Pradesh,Attempt to commit Culpable Homicide (Section 308 IPC),2014,0,0,0
Arunachal Pradesh,Rape (Section 376 IPC),2014,91,2,93
Arunachal Pradesh,Custodial Rape,2014,4,0,4
Arunachal Pradesh,Gang Rape,2014,0,0,0
Arunachal Pradesh,Other Rape,2014,4,0,4
Arunachal Pradesh,Rape other than Custodial,2014,87,2,89
Arunachal Pradesh,Gang Rape,2014,10,0,10
Arunachal Pradesh,Other Rape,2014,77,2,79
Arunachal Pradesh,Attempt to commit Rape (Section 376/511 IPC),2014,12,1,13
Arunachal Pradesh,"Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,141,20,161
Arunachal Pradesh,Kidnapping & Abduction (Section 363 IPC),2014,25,2,27
Arunachal Pradesh,Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,1,1,2
Arunachal Pradesh,Kidnapping for Ransom (Section 364A IPC),2014,9,0,9
Arunachal Pradesh,Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,15,5,20
Arunachal Pradesh,Other Kidnapping,2014,91,12,103
Arunachal Pradesh,"Dacoity (Section 395,396-398 IPC)",2014,15,0,15
Arunachal Pradesh,Dacoity with Murder (Section 396 IPC),2014,0,0,0
Arunachal Pradesh,Other Dacoity,2014,15,0,15
Arunachal Pradesh,Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),2014,0,0,0
Arunachal Pradesh,"Robbery (Section 392 to 394, 397 and 398 IPC)",2014,96,1,97
Arunachal Pradesh,Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),2014,120,0,120
Arunachal Pradesh,"Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2014,103,0,103
Arunachal Pradesh,"House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",2014,17,0,17
Arunachal Pradesh,Theft (Section 379 to 382 IPC),2014,335,9,344
Arunachal Pradesh,Auto Theft,2014,71,0,71
Arunachal Pradesh,Other Thefts,2014,264,9,273
Arunachal Pradesh,"Unlawful Assembly (Section 143,144 & 145)",2014,20,1,21
Arunachal Pradesh,"Riots (Section 147, 148, 149, 150 & 151 IPC)",2014,130,8,138
Arunachal Pradesh,Communal,2014,15,0,15
Arunachal Pradesh,Industrial,2014,0,0,0
Arunachal Pradesh,Political,2014,37,8,45
Arunachal Pradesh,Caste Conflict,2014,0,0,0
Arunachal Pradesh,SC/STs Vs. Non-SCs/STs,2014,0,0,0
Arunachal Pradesh,Other Caste Riots,2014,0,0,0
Arunachal Pradesh,Agrarian,2014,0,0,0
Arunachal Pradesh,Students,2014,5,0,5
Arunachal Pradesh,Sectarian,2014,0,0,0
Arunachal Pradesh,Other Riots,2014,73,0,73
Arunachal Pradesh,Criminal Breach of Trust (Section 406 to 409 IPC),2014,28,2,30
Arunachal Pradesh,Cheating (Section 420 IPC),2014,73,14,87
Arunachal Pradesh,"Forgery (Section 465, 468 & 471 IPC)",2014,9,1,10
Arunachal Pradesh,"Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",2014,0,0,0
Arunachal Pradesh,"Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2014,0,0,0
Arunachal Pradesh,Counterfeiting Government Stamp (Section 255 IPC),2014,0,0,0
Arunachal Pradesh,Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),2014,0,0,0
Arunachal Pradesh,Counterfeiting currency notes or Bank notes (Section 489A IPC),2014,0,0,0
Arunachal Pradesh,Using forged or counterfeit currency/Bank notes (Section 489B IPC),2014,0,0,0
Arunachal Pradesh,Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),2014,0,0,0
Arunachal Pradesh,Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),2014,0,0,0
Arunachal Pradesh,Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),2014,0,0,0
Arunachal Pradesh,Arson (Section 435-436 & 438 IPC),2014,23,0,23
Arunachal Pradesh,"Grievous Hurt (Section 325,326,326A & 326 B IPC)",2014,304,10,314
Arunachal Pradesh,Grievous Hurt (Section 325 & 326 IPC),2014,304,10,314
Arunachal Pradesh,Acid attack (Section 326A IPC),2014,0,0,0
Arunachal Pradesh,Attempt to Acid Attack (Section 326B IPC),2014,0,0,0
Arunachal Pradesh,Dowry Deaths (Section 304-B IPC),2014,1,0,1
Arunachal Pradesh,Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,151,13,164
Arunachal Pradesh,Sexual Harassment (Section 354A IPC),2014,27,0,27
Arunachal Pradesh,Assault on women with intent to Disrobe (Section 354B IPC),2014,0,0,0
Arunachal Pradesh,Voyeurism (Section 354C IPC),2014,6,0,6
Arunachal Pradesh,Stalking (Section 354D IPC),2014,1,0,1
Arunachal Pradesh,Others,2014,117,13,130
Arunachal Pradesh,Insult to the Modesty of Women (Section 509 IPC),2014,3,0,3
Arunachal Pradesh,At Office premises,2014,0,0,0
Arunachal Pradesh,Places related to work other than Office,2014,0,0,0
Arunachal Pradesh,In Public Transport system,2014,0,0,0
Arunachal Pradesh,In Other Places,2014,3,0,3
Arunachal Pradesh,Cruelty by Husband or his Relatives (Section 498-A IPC),2014,40,4,44
Arunachal Pradesh,Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Arunachal Pradesh,Causing Death by Negligence (Section 304-A IPC),2014,37,0,37
Arunachal Pradesh,Deaths due to negligent driving/act,2014,35,0,35
Arunachal Pradesh,Deaths due to Other Causes,2014,2,0,2
Arunachal Pradesh,"Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",2014,0,0,0
Arunachal Pradesh,Sedition (Section 124A IPC),2014,0,0,0
Arunachal Pradesh,Other offences against State,2014,0,0,0
Arunachal Pradesh,Offences promoting enmity between different groups (Section 153A & 153B IPC),2014,0,0,0
Arunachal Pradesh,Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),2014,0,0,0
Arunachal Pradesh,Imputation & assertions prejudicial to national integration (Section 153B IPC),2014,0,0,0
Arunachal Pradesh,Extortion (Section 384 - 389 IPC),2014,159,1,160
Arunachal Pradesh,Disclosure of Identity of Victims (Section 228 A IPC),2014,0,0,0
Arunachal Pradesh,Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),2014,72,0,72
Arunachal Pradesh,Human Trafficking (Section 370 & 370A IPC),2014,0,0,0
Arunachal Pradesh,Unnatural Offences U/s 377 IPC,2014,0,0,0
Arunachal Pradesh,Other IPC crimes,2014,932,28,960
Arunachal Pradesh,Total Cognizable IPC crimes,2014,3041,121,3162
Assam,Murder (Section 302 IPC),2014,3609,20,3629
Assam,Attempt to commit Murder (Section 307 IPC),2014,1738,6,1744
Assam,Culpable Homicide not amounting to Murder (Section 304 IPC),2014,151,0,151
Assam,Attempt to commit Culpable Homicide (Section 308 IPC),2014,14,0,14
Assam,Rape (Section 376 IPC),2014,3673,0,3673
Assam,Custodial Rape,2014,0,0,0
Assam,Gang Rape,2014,0,0,0
Assam,Other Rape,2014,0,0,0
Assam,Rape other than Custodial,2014,3673,0,3673
Assam,Gang Rape,2014,46,0,46
Assam,Other Rape,2014,3627,0,3627
Assam,Attempt to commit Rape (Section 376/511 IPC),2014,227,0,227
Assam,"Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,7926,10,7936
Assam,Kidnapping & Abduction (Section 363 IPC),2014,0,0,0
Assam,Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,6,0,6
Assam,Kidnapping for Ransom (Section 364A IPC),2014,49,0,49
Assam,Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,6583,0,6583
Assam,Other Kidnapping,2014,1288,10,1298
Assam,"Dacoity (Section 395,396-398 IPC)",2014,666,0,666
Assam,Dacoity with Murder (Section 396 IPC),2014,1,0,1
Assam,Other Dacoity,2014,665,0,665
Assam,Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),2014,30,0,30
Assam,"Robbery (Section 392 to 394, 397 and 398 IPC)",2014,2181,0,2181
Assam,Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),2014,6455,0,6455
Assam,"Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2014,5688,0,5688
Assam,"House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",2014,767,0,767
Assam,Theft (Section 379 to 382 IPC),2014,19120,47,19167
Assam,Auto Theft,2014,5200,0,5200
Assam,Other Thefts,2014,13920,47,13967
Assam,"Unlawful Assembly (Section 143,144 & 145)",2014,1308,0,1308
Assam,"Riots (Section 147, 148, 149, 150 & 151 IPC)",2014,5624,46,5670
Assam,Communal,2014,0,0,0
Assam,Industrial,2014,0,0,0
Assam,Political,2014,3,0,3
Assam,Caste Conflict,2014,0,0,0
Assam,SC/STs Vs. Non-SCs/STs,2014,0,0,0
Assam,Other Caste Riots,2014,0,0,0
Assam,Agrarian,2014,0,0,0
Assam,Students,2014,0,0,0
Assam,Sectarian,2014,0,0,0
Assam,Other Riots,2014,5621,46,5667
Assam,Criminal Breach of Trust (Section 406 to 409 IPC),2014,3323,2,3325
Assam,Cheating (Section 420 IPC),2014,4214,4,4218
Assam,"Forgery (Section 465, 468 & 471 IPC)",2014,90,0,90
Assam,"Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",2014,153,0,153
Assam,"Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2014,0,0,0
Assam,Counterfeiting Government Stamp (Section 255 IPC),2014,0,0,0
Assam,Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),2014,153,0,153
Assam,Counterfeiting currency notes or Bank notes (Section 489A IPC),2014,153,0,153
Assam,Using forged or counterfeit currency/Bank notes (Section 489B IPC),2014,0,0,0
Assam,Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),2014,0,0,0
Assam,Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),2014,0,0,0
Assam,Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),2014,0,0,0
Assam,Arson (Section 435-436 & 438 IPC),2014,3103,0,3103
Assam,"Grievous Hurt (Section 325,326,326A & 326 B IPC)",2014,11485,54,11539
Assam,Grievous Hurt (Section 325 & 326 IPC),2014,11485,54,11539
Assam,Acid attack (Section 326A IPC),2014,0,0,0
Assam,Attempt to Acid Attack (Section 326B IPC),2014,0,0,0
Assam,Dowry Deaths (Section 304-B IPC),2014,284,0,284
Assam,Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,3775,0,3775
Assam,Sexual Harassment (Section 354A IPC),2014,458,0,458
Assam,Assault on women with intent to Disrobe (Section 354B IPC),2014,616,0,616
Assam,Voyeurism (Section 354C IPC),2014,0,0,0
Assam,Stalking (Section 354D IPC),2014,0,0,0
Assam,Others,2014,2701,0,2701
Assam,Insult to the Modesty of Women (Section 509 IPC),2014,1,0,1
Assam,At Office premises,2014,0,0,0
Assam,Places related to work other than Office,2014,1,0,1
Assam,In Public Transport system,2014,0,0,0
Assam,In Other Places,2014,0,0,0
Assam,Cruelty by Husband or his Relatives (Section 498-A IPC),2014,12946,14,12960
Assam,Importation of Girls from Foreign Country (Section 366-B IPC),2014,1,0,1
Assam,Causing Death by Negligence (Section 304-A IPC),2014,3418,0,3418
Assam,Deaths due to negligent driving/act,2014,841,0,841
Assam,Deaths due to Other Causes,2014,2577,0,2577
Assam,"Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",2014,57,0,57
Assam,Sedition (Section 124A IPC),2014,1,0,1
Assam,Other offences against State,2014,56,0,56
Assam,Offences promoting enmity between different groups (Section 153A & 153B IPC),2014,0,0,0
Assam,Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),2014,0,0,0
Assam,Imputation & assertions prejudicial to national integration (Section 153B IPC),2014,0,0,0
Assam,Extortion (Section 384 - 389 IPC),2014,1242,0,1242
Assam,Disclosure of Identity of Victims (Section 228 A IPC),2014,0,0,0
Assam,Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),2014,3209,0,3209
Assam,Human Trafficking (Section 370 & 370A IPC),2014,68,0,68
Assam,Unnatural Offences U/s 377 IPC,2014,0,0,0
Assam,Other IPC crimes,2014,46873,101,46974
Assam,Total Cognizable IPC crimes,2014,146964,304,147268
Bihar,Murder (Section 302 IPC),2014,5333,129,5462
Bihar,Attempt to commit Murder (Section 307 IPC),2014,5629,320,5949
Bihar,Culpable Homicide not amounting to Murder (Section 304 IPC),2014,298,0,298
Bihar,Attempt to commit Culpable Homicide (Section 308 IPC),2014,782,51,833
Bihar,Rape (Section 376 IPC),2014,1226,0,1226
Bihar,Custodial Rape,2014,0,0,0
Bihar,Gang Rape,2014,0,0,0
Bihar,Other Rape,2014,0,0,0
Bihar,Rape other than Custodial,2014,1226,0,1226
Bihar,Gang Rape,2014,49,0,49
Bihar,Other Rape,2014,1177,0,1177
Bihar,Attempt to commit Rape (Section 376/511 IPC),2014,497,3,500
Bihar,"Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,7920,34,7954
Bihar,Kidnapping & Abduction (Section 363 IPC),2014,755,0,755
Bihar,Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,888,2,890
Bihar,Kidnapping for Ransom (Section 364A IPC),2014,143,0,143
Bihar,Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,5245,25,5270
Bihar,Other Kidnapping,2014,889,7,896
Bihar,"Dacoity (Section 395,396-398 IPC)",2014,2099,0,2099
Bihar,Dacoity with Murder (Section 396 IPC),2014,24,0,24
Bihar,Other Dacoity,2014,2075,0,2075
Bihar,Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),2014,246,0,246
Bihar,"Robbery (Section 392 to 394, 397 and 398 IPC)",2014,3085,0,3085
Bihar,Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),2014,4321,0,4321
Bihar,"Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2014,4154,0,4154
Bihar,"House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",2014,167,0,167
Bihar,Theft (Section 379 to 382 IPC),2014,17159,29,17188
Bihar,Auto Theft,2014,6584,0,6584
Bihar,Other Thefts,2014,10575,29,10604
Bihar,"Unlawful Assembly (Section 143,144 & 145)",2014,1647,0,1647
Bihar,"Riots (Section 147, 148, 149, 150 & 151 IPC)",2014,52326,1246,53572
Bihar,Communal,2014,384,0,384
Bihar,Industrial,2014,0,0,0
Bihar,Political,2014,23,2,25
Bihar,Caste Conflict,2014,50,0,50
Bihar,SC/STs Vs. Non-SCs/STs,2014,0,0,0
Bihar,Other Caste Riots,2014,50,0,50
Bihar,Agrarian,2014,972,23,995
Bihar,Students,2014,68,0,68
Bihar,Sectarian,2014,0,0,0
Bihar,Other Riots,2014,50829,1221,52050
Bihar,Criminal Breach of Trust (Section 406 to 409 IPC),2014,1564,5,1569
Bihar,Cheating (Section 420 IPC),2014,5921,34,5955
Bihar,"Forgery (Section 465, 468 & 471 IPC)",2014,1034,16,1050
Bihar,"Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",2014,326,0,326
Bihar,"Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2014,299,0,299
Bihar,Counterfeiting Government Stamp (Section 255 IPC),2014,0,0,0
Bihar,Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),2014,27,0,27
Bihar,Counterfeiting currency notes or Bank notes (Section 489A IPC),2014,18,0,18
Bihar,Using forged or counterfeit currency/Bank notes (Section 489B IPC),2014,6,0,6
Bihar,Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),2014,3,0,3
Bihar,Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),2014,0,0,0
Bihar,Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),2014,0,0,0
Bihar,Arson (Section 435-436 & 438 IPC),2014,839,2,841
Bihar,"Grievous Hurt (Section 325,326,326A & 326 B IPC)",2014,22876,1404,24280
Bihar,Grievous Hurt (Section 325 & 326 IPC),2014,22871,1404,24275
Bihar,Acid attack (Section 326A IPC),2014,5,0,5
Bihar,Attempt to Acid Attack (Section 326B IPC),2014,0,0,0
Bihar,Dowry Deaths (Section 304-B IPC),2014,2119,265,2384
Bihar,Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,732,1,733
Bihar,Sexual Harassment (Section 354A IPC),2014,371,1,372
Bihar,Assault on women with intent to Disrobe (Section 354B IPC),2014,91,0,91
Bihar,Voyeurism (Section 354C IPC),2014,5,0,5
Bihar,Stalking (Section 354D IPC),2014,8,0,8
Bihar,Others,2014,257,0,257
Bihar,Insult to the Modesty of Women (Section 509 IPC),2014,82,0,82
Bihar,At Office premises,2014,0,0,0
Bihar,Places related to work other than Office,2014,0,0,0
Bihar,In Public Transport system,2014,0,0,0
Bihar,In Other Places,2014,82,0,82
Bihar,Cruelty by Husband or his Relatives (Section 498-A IPC),2014,5152,845,5997
Bihar,Importation of Girls from Foreign Country (Section 366-B IPC),2014,19,0,19
Bihar,Causing Death by Negligence (Section 304-A IPC),2014,4901,52,4953
Bihar,Deaths due to negligent driving/act,2014,4477,52,4529
Bihar,Deaths due to Other Causes,2014,424,0,424
Bihar,"Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",2014,35,0,35
Bihar,Sedition (Section 124A IPC),2014,28,0,28
Bihar,Other offences against State,2014,7,0,7
Bihar,Offences promoting enmity between different groups (Section 153A & 153B IPC),2014,0,0,0
Bihar,Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),2014,0,0,0
Bihar,Imputation & assertions prejudicial to national integration (Section 153B IPC),2014,0,0,0
Bihar,Extortion (Section 384 - 389 IPC),2014,1206,0,1206
Bihar,Disclosure of Identity of Victims (Section 228 A IPC),2014,0,0,0
Bihar,Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),2014,3415,27,3442
Bihar,Human Trafficking (Section 370 & 370A IPC),2014,79,0,79
Bihar,Unnatural Offences U/s 377 IPC,2014,5,0,5
Bihar,Other IPC crimes,2014,97319,4499,101818
Bihar,Total Cognizable IPC crimes,2014,250192,8962,259154
Chhattisgarh,Murder (Section 302 IPC),2014,1517,103,1620
Chhattisgarh,Attempt to commit Murder (Section 307 IPC),2014,1249,43,1292
Chhattisgarh,Culpable Homicide not amounting to Murder (Section 304 IPC),2014,48,2,50
Chhattisgarh,Attempt to commit Culpable Homicide (Section 308 IPC),2014,0,0,0
Chhattisgarh,Rape (Section 376 IPC),2014,1683,25,1708
Chhattisgarh,Custodial Rape,2014,0,0,0
Chhattisgarh,Gang Rape,2014,0,0,0
Chhattisgarh,Other Rape,2014,0,0,0
Chhattisgarh,Rape other than Custodial,2014,1683,25,1708
Chhattisgarh,Gang Rape,2014,192,3,195
Chhattisgarh,Other Rape,2014,1491,22,1513
Chhattisgarh,Attempt to commit Rape (Section 376/511 IPC),2014,22,1,23
Chhattisgarh,"Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,1119,52,1171
Chhattisgarh,Kidnapping & Abduction (Section 363 IPC),2014,547,15,562
Chhattisgarh,Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,18,0,18
Chhattisgarh,Kidnapping for Ransom (Section 364A IPC),2014,15,0,15
Chhattisgarh,Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,239,3,242
Chhattisgarh,Other Kidnapping,2014,300,34,334
Chhattisgarh,"Dacoity (Section 395,396-398 IPC)",2014,193,0,193
Chhattisgarh,Dacoity with Murder (Section 396 IPC),2014,6,0,6
Chhattisgarh,Other Dacoity,2014,187,0,187
Chhattisgarh,Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),2014,35,0,35
Chhattisgarh,"Robbery (Section 392 to 394, 397 and 398 IPC)",2014,665,5,670
Chhattisgarh,Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),2014,2227,22,2249
Chhattisgarh,"Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2014,1668,8,1676
Chhattisgarh,"House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",2014,559,14,573
Chhattisgarh,Theft (Section 379 to 382 IPC),2014,4012,114,4126
Chhattisgarh,Auto Theft,2014,1529,0,1529
Chhattisgarh,Other Thefts,2014,2483,114,2597
Chhattisgarh,"Unlawful Assembly (Section 143,144 & 145)",2014,369,4,373
Chhattisgarh,"Riots (Section 147, 148, 149, 150 & 151 IPC)",2014,4076,310,4386
Chhattisgarh,Communal,2014,0,0,0
Chhattisgarh,Industrial,2014,6,0,6
Chhattisgarh,Political,2014,25,0,25
Chhattisgarh,Caste Conflict,2014,703,29,732
Chhattisgarh,SC/STs Vs. Non-SCs/STs,2014,36,0,36
